ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
149,Meribel (Les 3 Vallees),45.39139,6.574283,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No
72,Montgenevre (Via Lattea),44.929277,6.729726,France,Europe,48,November - April,2749,1372,96,220,84,400,0,0,29,35,7,71,96433,Yes,No,Yes,No
188,Orcieres Merlette 1850,44.6972064,6.3235516,France,Europe,34,December - April,2725,1850,55,38,7,100,0,0,20,7,3,30,29605,Yes,Yes,No,No
244,Puy St. Vincent,44.8279543,6.4926273,France,Europe,34,December - April,2677,1407,28,34,13,75,0,95,4,8,0,12,17155,Yes,Yes,Yes,No
67,Saint Martin de Belleville (Les 3 Vallees),45.3503871,6.500076137,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No
187,Saint-Lary-Soulan,42.816936,0.3219538,France,Europe,42,December - April,1600,812,60,30,10,100,3,290,17,11,3,31,38733,Yes,Yes,Yes,No
75,Serre Chevalier-Briancon/Chantemerle/Villeneuve-la-Salle/Le Monetier-les-Bains,44.9107381,6.5500282,France,Europe,49,December - April,2800,1200,138,80,32,250,9,575,33,21,7,61,72066,Yes,Yes,Yes,No
57,Tignes - Val d'Isere,45.4580331,6.918835739,France,Europe,56,"November - May, June - August",3456,1550,170,78,52,300,6,848,33,42,11,86,145461,Yes,Yes,No,Yes
172,Val Cenis-Lanslevillard-Lanslebourg-Termignon,45.2768658,6.8170409,France,Europe,36,December - April,2800,1300,73,42,10,125,0,200,13,13,2,28,39824,Yes,Yes,Yes,No
74,Val Thorens (Les 3 Vallees),45.2979109,6.5822693,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No
214,Valberg-Beuil les Launes,44.0956228,6.9301384,France,Europe,32,December - April,2020,1412,45,35,10,90,0,400,22,7,0,29,25940,Yes,Yes,No,No
256,Valfrejus,45.162254,6.657267525,France,Europe,29,December - April,2737,1550,40,20,10,70,0,80,5,4,1,10,15800,Yes,Yes,No,No
158,Vars-Risoul-La Foret Blanche,47.5343201,5.5342065,France,Europe,39,December - April,2750,1650,75,90,20,185,0,0,32,17,2,51,50145,Yes,Yes,Yes,No
14,Brauneck Lenggries Wegscheid,47.674786,11.554735,Germany,Europe,35,December - April,1712,700,8,22,4,34,3,0,16,4,1,21,19100,Yes,No,Yes,No
364,Garmisch-Classic-Garmisch-Partenkirchen,47.4596073,11.07616628,Germany,Europe,43,December - April,2050,732,12,18,10,40,8,0,11,4,4,19,21090,Yes,Yes,No,No
439,Sudelfeld-Bayrischzell,47.6717401,12.04163164,Germany,Europe,33,Unknown,1563,850,5,24,3,32,4,100,10,5,0,15,17477,Yes,Yes,No,No
